ticker,company,sector,industry,hq,date_first_added,cik,founded
C,Citigroup,Diversified Banks,"New York City, New York",1988-05-31,0000831001,"1998
",
CFG,Citizens Financial Group,Regional Banks,"Providence, Rhode Island",2016-01-29,0000759944,"1828
",
CLX,Clorox,Household Products,"Oakland, California",1969-03-31,0000021076,"1913
",
CME,CME Group,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,0001156375,"1848
",
CMS,CMS Energy,Multi-Utilities,"Jackson, Michigan",1957-03-04,0000811156,"1886
",
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,0000021344,"1886
",
CTSH,Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,0001058290,"1994
",
CL,Colgate-Palmolive,Household Products,"New York City, New York",1957-03-04,0000021665,"1806
",
CMCSA,Comcast,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,0001166691,"1963
",
CMA,Comerica,Diversified Banks,"Dallas, Texas",1995-12-01,0000028412,"1849
",
CAG,Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,"0000023217
","1919
",
COP,ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0001163165,"2002
",
ED,Consolidated Edison,Electric Utilities,"New York City, New York",1957-03-04,0001047862,"1823
",
STZ,Constellation Brands,Distillers & Vintners,"Victor, New York",2005-07-01,0000016918,"1945
",
CEG,Constellation Energy,Multi-Utilities,"Baltimore, Maryland",2022-02-02,0001868275,"1999
",
COO,CooperCompanies,Health Care Supplies,"San Ramon, California",2016-09-23,0000711404,"1958
",
CPRT,Copart,Diversified Support Services,"Dallas, Texas",2018-07-02,0000900075,"1982
",
GLW,Corning Inc.,Electronic Components,"Corning, New York",1995-02-27,0000024741,"1851
",
CTVA,Corteva,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,0001755672,"2019
",
CSGP,CoStar Group,Research & Consulting Services,"Washington, D.C.",2022-09-19,0001057352,"1987
",
COST,Costco,Consumer Staples Merchandise Retail,"Issaquah, Washington",1993-10-01,0000909832,"1976
",
CTRA,Coterra,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,0000858470,"2021 (1989)
",
